,id,product_id,cost,created_at,sold_at,product_category,product_name,product_brand,product_sku,product_retail_price,user_id,sale_price,sold_date
13,14,27061,17.43,2021-11-22,1,Sleep & Lounge,Majestic International Men's Grahams Cotton Long Sleeve Pajama Gift Set,Majestic International,3DC91C9313038CE8C97966F7F4194AAC,42.0,5.0,69.98999786376953,2021-11-30
14,15,27061,17.43,2020-07-01,0,Sleep & Lounge,Majestic International Men's Grahams Cotton Long Sleeve Pajama Gift Set,Majestic International,3DC91C9313038CE8C97966F7F4194AAC,42.0,5.0,65.0,
15,16,28048,29.51,2022-04-25,1,Swim,Speedo Men's Fractal Point Splice Xtra Life Lycra Jammer,Speedo,E9527AEC68523B8CEB74E12B8685B96A,47.9900016784668,5.0,27.950000762939453,2022-05-14
16,17,28048,29.51,2021-06-04,0,Swim,Speedo Men's Fractal Point Splice Xtra Life Lycra Jammer,Speedo,E9527AEC68523B8CEB74E12B8685B96A,47.9900016784668,6.0,64.9000015258789,
17,18,28048,29.51,2021-06-15,0,Swim,Speedo Men's Fractal Point Splice Xtra Life Lycra Jammer,Speedo,E9527AEC68523B8CEB74E12B8685B96A,47.9900016784668,7.0,73.70999908447266,
18,19,28048,29.51,2021-11-09,0,Swim,Speedo Men's Fractal Point Splice Xtra Life Lycra Jammer,Speedo,E9527AEC68523B8CEB74E12B8685B96A,47.9900016784668,9.0,60.0,
19,20,27828,26.01,2020-02-06,1,Swim,Fox Racing Future Boardshort Flame Red W31,Fox,5AA4A8377A596E113596BA843F3A3E93,47.040000915527344,9.0,213.7100067138672,2020-02-10
20,21,27828,26.01,2022-04-14,0,Swim,Fox Racing Future Boardshort Flame Red W31,Fox,5AA4A8377A596E113596BA843F3A3E93,47.040000915527344,9.0,34.0,
21,22,22984,14.01,2020-02-06,1,Shorts,Savane Men's Yarn Dye Glen Plaid Short,Savane,C38788AAA2B9BED83CA8226D9C4CC768,30.0,9.0,209.9900054931641,2020-02-10
22,23,22984,14.01,2020-07-20,0,Shorts,Savane Men's Yarn Dye Glen Plaid Short,Savane,C38788AAA2B9BED83CA8226D9C4CC768,30.0,9.0,36.63999938964844,
23,24,19955,7.08,2021-08-29,1,Suits & Sport Coats,Paisley Men's Poly Woven Vest,boxed-gifts,59EC100F89336AA58068896EC732B099,19.989999771118164,9.0,228.0,2021-09-07
24,25,19955,7.08,2020-11-06,0,Suits & Sport Coats,Paisley Men's Poly Woven Vest,boxed-gifts,59EC100F89336AA58068896EC732B099,19.989999771118164,10.0,146.25,
25,26,19955,7.08,2020-03-15,0,Suits & Sport Coats,Paisley Men's Poly Woven Vest,boxed-gifts,59EC100F89336AA58068896EC732B099,19.989999771118164,10.0,39.9900016784668,
26,27,18499,5.75,2021-06-03,1,Active,Hanes Born To Be Worn 100% Cotton Beefy-T T-Shirt,Hanes,593A5897C7E61892028B751DA337A193,13.0,10.0,55.0,2021-07-31
27,28,18499,5.75,2020-05-24,0,Active,Hanes Born To Be Worn 100% Cotton Beefy-T T-Shirt,Hanes,593A5897C7E61892028B751DA337A193,13.0,10.0,17.989999771118164,
28,29,19964,43.2,2021-10-08,1,Suits & Sport Coats,Kenneth Cole Reaction Mens Grey Stripe Suit Separate Coat,Kenneth Cole REACTION,41C831141B8539BBBFC233928F6BF831,99.98999786376952,11.0,24.950000762939453,2021-11-08
29,30,19964,43.2,2020-11-01,0,Suits & Sport Coats,Kenneth Cole Reaction Mens Grey Stripe Suit Separate Coat,Kenneth Cole REACTION,41C831141B8539BBBFC233928F6BF831,99.98999786376952,11.0,29.989999771118164,
30,31,16121,22.91,2021-10-30,1,Tops & Tees,Columbia Sportswear Men's Perfect Cast Polo Shirt,Columbia,CC073C2619C2B1DBA60B509CD5B5F9F6,41.79999923706056,12.0,44.0,2021-11-08
31,32,16121,22.91,2021-11-18,0,Tops & Tees,Columbia Sportswear Men's Perfect Cast Polo Shirt,Columbia,CC073C2619C2B1DBA60B509CD5B5F9F6,41.79999923706056,13.0,15.0,
32,33,16121,22.91,2020-02-27,0,Tops & Tees,Columbia Sportswear Men's Perfect Cast Polo Shirt,Columbia,CC073C2619C2B1DBA60B509CD5B5F9F6,41.79999923706056,14.0,14.0,
33,34,20937,24.11,2022-03-23,1,Jeans,Calvin Klein Jeans Men's Rivington Lightweight Jean,Calvin Klein Jeans,5C6C364BF5F3E00A2E2B017859DDE995,49.5,14.0,34.040000915527344,2022-05-19
34,35,20937,24.11,2020-09-20,0,Jeans,Calvin Klein Jeans Men's Rivington Lightweight Jean,Calvin Klein Jeans,5C6C364BF5F3E00A2E2B017859DDE995,49.5,15.0,8.949999809265137,
35,36,19297,32.06,2022-04-21,1,Sweaters,Alex Cannon Men's Multi Stripe Sweater,Alex Cannon,45F71A702B70BC7415BCD9FCC790E551,69.98999786376953,15.0,61.0,2022-05-15
36,37,19297,32.06,2020-08-24,0,Sweaters,Alex Cannon Men's Multi Stripe Sweater,Alex Cannon,45F71A702B70BC7415BCD9FCC790E551,69.98999786376953,16.0,26.600000381469727,
37,38,19297,32.06,2021-09-22,0,Sweaters,Alex Cannon Men's Multi Stripe Sweater,Alex Cannon,45F71A702B70BC7415BCD9FCC790E551,69.98999786376953,16.0,11.350000381469728,
38,39,22164,30.16,2022-05-08,1,Pants,Oak Hill Big & Tall Heritage Canvas Cargo Pants,Oak Hill,F40ABF62424207BCB2B7274BC0BDDE20,65.0,16.0,68.0,2022-05-18
39,40,22164,30.16,2022-01-03,0,Pants,Oak Hill Big & Tall Heritage Canvas Cargo Pants,Oak Hill,F40ABF62424207BCB2B7274BC0BDDE20,65.0,17.0,14.989999771118164,
40,41,16947,15.93,2022-04-06,1,Tops & Tees,Harley-DavidsonÂ® Men's Blue Bar & Shield T-Shirt. Graphics. All Cotton. 302905940,Harley-Davidson,4270DBF131A6B90E675B8861DD699AB5,27.950000762939453,18.0,62.68999862670898,2022-05-19
41,42,16947,15.93,2020-05-09,0,Tops & Tees,Harley-DavidsonÂ® Men's Blue Bar & Shield T-Shirt. Graphics. All Cotton. 302905940,Harley-Davidson,4270DBF131A6B90E675B8861DD699AB5,27.950000762939453,18.0,25.5,
42,43,20345,27.71,2021-11-20,1,Suits & Sport Coats,Paul Malone Wedding Vest Set Cappuccino 5pcs Tuxedo Vest + Necktie + Ascot + Hanky + 2 Cufflinks,Paul Malone,650170B55EE391260D8F1CE10D493661,64.9000015258789,18.0,15.989999771118164,2021-12-27
43,44,20345,27.71,2021-04-14,0,Suits & Sport Coats,Paul Malone Wedding Vest Set Cappuccino 5pcs Tuxedo Vest + Necktie + Ascot + Hanky + 2 Cufflinks,Paul Malone,650170B55EE391260D8F1CE10D493661,64.9000015258789,18.0,349.0,
44,45,20345,27.71,2020-11-08,0,Suits & Sport Coats,Paul Malone Wedding Vest Set Cappuccino 5pcs Tuxedo Vest + Necktie + Ascot + Hanky + 2 Cufflinks,Paul Malone,650170B55EE391260D8F1CE10D493661,64.9000015258789,18.0,40.0,
45,46,13900,27.42,2022-01-17,1,Accessories,Native Eyewear Dash XP Sunglasses,Native Eyewear,7AACA7ED25A9290E1953A69E401D924C,73.70999908447266,18.0,12.359999656677246,2022-02-13
46,47,13900,27.42,2021-05-16,0,Accessories,Native Eyewear Dash XP Sunglasses,Native Eyewear,7AACA7ED25A9290E1953A69E401D924C,73.70999908447266,19.0,46.0,
47,48,13900,27.42,2020-02-08,0,Accessories,Native Eyewear Dash XP Sunglasses,Native Eyewear,7AACA7ED25A9290E1953A69E401D924C,73.70999908447266,19.0,68.0,
48,49,9946,36.6,2021-10-26,1,Sleep & Lounge,Eileen West Women's Winter Wonderland Pajama,Eileen West,A26475AF783877529BF81EED81743D71,60.0,19.0,9.989999771118164,2021-12-14
49,50,9946,36.6,2021-02-02,0,Sleep & Lounge,Eileen West Women's Winter Wonderland Pajama,Eileen West,A26475AF783877529BF81EED81743D71,60.0,22.0,44.880001068115234,
50,51,9946,36.6,2022-05-12,0,Sleep & Lounge,Eileen West Women's Winter Wonderland Pajama,Eileen West,A26475AF783877529BF81EED81743D71,60.0,22.0,40.0,
51,52,7766,91.9,2021-11-23,1,Blazers & Jackets,Trina Turk Women's Gaston Jacket,Trina Turk,4B7F871C66BE5AC7630C27BB5E21FE7F,213.7100067138672,22.0,59.9900016784668,2021-12-15
52,53,7766,91.9,2022-03-01,0,Blazers & Jackets,Trina Turk Women's Gaston Jacket,Trina Turk,4B7F871C66BE5AC7630C27BB5E21FE7F,213.7100067138672,23.0,79.5,
53,54,10753,16.63,2021-10-27,1,Intimates,Cosabella Women's Never Say Never Hipster,Cosabella,761213BCD999998A5B22D22B13DB075F,34.0,23.0,69.94999694824219,2021-12-12
54,55,10753,16.63,2020-02-08,0,Intimates,Cosabella Women's Never Say Never Hipster,Cosabella,761213BCD999998A5B22D22B13DB075F,34.0,24.0,149.0,
55,56,2849,94.08,2021-11-20,1,Active,Icebreaker Women's Cascade Full Zip,Icebreaker,2217AD1DD50C1017D3DF6B44B7C45508,209.9900054931641,24.0,169.0,2022-01-18
56,57,2849,94.08,2020-11-15,0,Active,Icebreaker Women's Cascade Full Zip,Icebreaker,2217AD1DD50C1017D3DF6B44B7C45508,209.9900054931641,24.0,14.329999923706056,
57,58,2849,94.08,2022-03-31,0,Active,Icebreaker Women's Cascade Full Zip,Icebreaker,2217AD1DD50C1017D3DF6B44B7C45508,209.9900054931641,24.0,39.9900016784668,
58,59,2849,94.08,2021-11-16,0,Active,Icebreaker Women's Cascade Full Zip,Icebreaker,2217AD1DD50C1017D3DF6B44B7C45508,209.9900054931641,24.0,36.0,
59,60,6636,18.83,2021-12-19,1,Shorts,Joie Women's Merci short,Joie,86B3E165B8154656A71FFE8A327DED7D,36.63999938964844,25.0,8.989999771118164,2022-01-28
60,61,6636,18.83,2021-05-04,0,Shorts,Joie Women's Merci short,Joie,86B3E165B8154656A71FFE8A327DED7D,36.63999938964844,25.0,169.9499969482422,
61,62,953,99.64,2022-01-06,1,Sweaters,Joie Women's Armelio Sweater,Joie,9232FE81225BCAEF853AE32870A2B0FE,228.0,25.0,98.0,2022-01-27
62,63,953,99.64,2020-11-17,0,Sweaters,Joie Women's Armelio Sweater,Joie,9232FE81225BCAEF853AE32870A2B0FE,228.0,27.0,24.299999237060547,
63,64,19258,70.2,2022-03-07,1,Sweaters,Victorinox Men's Full Zip Sweater,Victorinox,F2EE555E877C9BD7239E2A2D4E5C4F25,146.25,27.0,42.9900016784668,2022-04-11
64,65,19258,70.2,2021-09-07,0,Sweaters,Victorinox Men's Full Zip Sweater,Victorinox,F2EE555E877C9BD7239E2A2D4E5C4F25,146.25,27.0,19.93000030517578,
65,66,19258,70.2,2021-05-14,0,Sweaters,Victorinox Men's Full Zip Sweater,Victorinox,F2EE555E877C9BD7239E2A2D4E5C4F25,146.25,27.0,135.0,
66,67,19258,70.2,2021-01-17,0,Sweaters,Victorinox Men's Full Zip Sweater,Victorinox,F2EE555E877C9BD7239E2A2D4E5C4F25,146.25,27.0,84.98999786376953,
67,68,22507,18.08,2021-11-22,1,Pants,RSQ Amsterdam Relaxed Mens Twill Pants,RSQ,99BDDC0E3C7548714C48171B8595FAAC,39.9900016784668,27.0,120.0,2022-01-16
68,69,22507,18.08,2022-05-09,0,Pants,RSQ Amsterdam Relaxed Mens Twill Pants,RSQ,99BDDC0E3C7548714C48171B8595FAAC,39.9900016784668,28.0,26.989999771118164,
69,70,18473,24.92,2021-10-06,1,Active,PUMA Men's Performance Fleece Pullover,PUMA,B88524C1561B782A1A78BD24D1712FFB,55.0,30.0,129.5,2021-10-31
70,71,18473,24.92,2020-10-26,0,Active,PUMA Men's Performance Fleece Pullover,PUMA,B88524C1561B782A1A78BD24D1712FFB,55.0,31.0,27.950000762939453,
71,72,24972,10.4,2022-04-19,1,Socks,FITS Light Hiker Quarter Crew Socks,FITS Sock Company,2145031A345440C221D8992954A841DB,17.989999771118164,32.0,39.9900016784668,2022-04-23
72,73,24972,10.4,2020-03-06,0,Socks,FITS Light Hiker Quarter Crew Socks,FITS Sock Company,2145031A345440C221D8992954A841DB,17.989999771118164,32.0,11.909999847412108,
73,74,24972,10.4,2022-02-16,0,Socks,FITS Light Hiker Quarter Crew Socks,FITS Sock Company,2145031A345440C221D8992954A841DB,17.989999771118164,33.0,5.5,
74,75,28884,9.58,2021-06-30,1,Accessories,Guess Mens Sunrise Passcase,GUESS,D869C38D1B6E0E50A1F789D6BDF396BC,24.950000762939453,34.0,25.0,2021-08-20
75,76,28884,9.58,2021-03-08,0,Accessories,Guess Mens Sunrise Passcase,GUESS,D869C38D1B6E0E50A1F789D6BDF396BC,24.950000762939453,35.0,28.5,
76,77,28884,9.58,2020-09-12,0,Accessories,Guess Mens Sunrise Passcase,GUESS,D869C38D1B6E0E50A1F789D6BDF396BC,24.950000762939453,35.0,49.5,
77,78,16234,16.67,2021-12-04,1,Tops & Tees,U.S. Polo Assn. Men's Yarn Dyed Striped Shirt,U.S. Polo Assn.,061198543469ADEC54217B823BE0834E,29.989999771118164,35.0,29.989999771118164,2022-01-27
78,79,16234,16.67,2021-05-06,0,Tops & Tees,U.S. Polo Assn. Men's Yarn Dyed Striped Shirt,U.S. Polo Assn.,061198543469ADEC54217B823BE0834E,29.989999771118164,36.0,157.92999267578125,
79,80,43,26.27,2022-03-09,1,Tops & Tees,Seven7 Women's Shirt Tail Dolman Top,Seven7,17E62166FC8586DFA4D1BC0E1742C08B,44.0,36.0,47.9900016784668,2022-04-05
80,81,43,26.27,2022-06-01,0,Tops & Tees,Seven7 Women's Shirt Tail Dolman Top,Seven7,17E62166FC8586DFA4D1BC0E1742C08B,44.0,38.0,79.5,
81,82,17032,8.76,2020-07-23,1,Tops & Tees,Mj Soffe Men's Dri-Release Tee,MJ Soffe,02921182231B86367AC80F0A6CFCB901,15.0,39.0,42.9900016784668,2020-09-15
82,83,17032,8.76,2021-03-10,0,Tops & Tees,Mj Soffe Men's Dri-Release Tee,MJ Soffe,02921182231B86367AC80F0A6CFCB901,15.0,39.0,42.0,
83,84,2472,5.75,2020-07-02,1,Active,Rampage Leopard Band Yoga Pant,Rampage,73F490F3F868EDBCD80B5D3F7CEDC403,14.0,40.0,20.89999961853028,2020-08-18
84,85,2472,5.75,2022-03-21,0,Active,Rampage Leopard Band Yoga Pant,Rampage,73F490F3F868EDBCD80B5D3F7CEDC403,14.0,41.0,68.0,
85,86,4386,17.84,2020-12-06,1,Jeans,Dickies Women's Relaxed Fit Straight Leg Jean,Dickies,4BB948D5B21472509627F7F4C2A44784,34.040000915527344,43.0,83.66999816894531,2021-01-16
86,87,4386,17.84,2020-11-16,0,Jeans,Dickies Women's Relaxed Fit Straight Leg Jean,Dickies,4BB948D5B21472509627F7F4C2A44784,34.040000915527344,47.0,38.0,
87,88,4386,17.84,2021-06-16,0,Jeans,Dickies Women's Relaxed Fit Straight Leg Jean,Dickies,4BB948D5B21472509627F7F4C2A44784,34.040000915527344,48.0,135.0,
88,89,9387,3.77,2021-10-02,1,Socks & Hosiery,Yelete Killer Legs Back Seam Fishnet Pantyhose (828HD036) Black,Yelete,6F5216F8D89B086C18298E043BFE48ED,8.949999809265137,49.0,18.0,2021-11-08
89,90,9387,3.77,2020-02-10,0,Socks & Hosiery,Yelete Killer Legs Back Seam Fishnet Pantyhose (828HD036) Black,Yelete,6F5216F8D89B086C18298E043BFE48ED,8.949999809265137,51.0,58.84000015258789,
90,91,9387,3.77,2020-01-29,0,Socks & Hosiery,Yelete Killer Legs Back Seam Fishnet Pantyhose (828HD036) Black,Yelete,6F5216F8D89B086C18298E043BFE48ED,8.949999809265137,51.0,12.989999771118164,
91,92,12510,29.89,2021-11-06,1,Intimates,Provocative Belleza Divina Pink Top and Shorty Set PR3732,Provocative,FC79F85644E61B73336061894220E641,61.0,51.0,29.989999771118164,2021-11-08
92,93,12510,29.89,2020-06-22,0,Intimates,Provocative Belleza Divina Pink Top and Shorty Set PR3732,Provocative,FC79F85644E61B73336061894220E641,61.0,51.0,179.0,
93,94,12510,29.89,2020-03-28,0,Intimates,Provocative Belleza Divina Pink Top and Shorty Set PR3732,Provocative,FC79F85644E61B73336061894220E641,61.0,52.0,23.950000762939453,
94,95,11194,14.34,2020-12-11,1,Intimates,Heavenly Shapewear Women's Seamless Molded Cup Bodysuit,Heavenly Shapewear,AC6D3309A61190CCCE91186C045CC6DC,26.600000381469727,53.0,35.20000076293945,2020-12-19
95,96,11194,14.34,2020-10-31,0,Intimates,Heavenly Shapewear Women's Seamless Molded Cup Bodysuit,Heavenly Shapewear,AC6D3309A61190CCCE91186C045CC6DC,26.600000381469727,54.0,18.0,
96,97,11194,14.34,2021-04-07,0,Intimates,Heavenly Shapewear Women's Seamless Molded Cup Bodysuit,Heavenly Shapewear,AC6D3309A61190CCCE91186C045CC6DC,26.600000381469727,56.0,88.5,
97,98,11194,14.34,2022-02-28,0,Intimates,Heavenly Shapewear Women's Seamless Molded Cup Bodysuit,Heavenly Shapewear,AC6D3309A61190CCCE91186C045CC6DC,26.600000381469727,56.0,26.950000762939453,
98,99,6080,6.69,2020-12-02,1,Leggings,Allegra K Ladies Drawstring Waist Faux Leather Patchwork Leggings Light Gray XS,Allegra K,940392F5F32A7ADE1CC201767CF83E31,11.350000381469728,56.0,84.0,2020-12-16
99,100,6080,6.69,2020-11-30,0,Leggings,Allegra K Ladies Drawstring Waist Faux Leather Patchwork Leggings Light Gray XS,Allegra K,940392F5F32A7ADE1CC201767CF83E31,11.350000381469728,56.0,28.0,
100,101,6080,6.69,2020-06-15,0,Leggings,Allegra K Ladies Drawstring Waist Faux Leather Patchwork Leggings Light Gray XS,Allegra K,940392F5F32A7ADE1CC201767CF83E31,11.350000381469728,56.0,34.900001525878906,
101,102,4436,36.72,2020-07-17,1,Jeans,Levi's Women's Modern Demi Curve Skinny Jean,Levi's,A1F0CF94512F963E5ED4EDD9AF70E2CC,68.0,56.0,9.579999923706056,2020-09-07
102,103,4436,36.72,2020-10-13,0,Jeans,Levi's Women's Modern Demi Curve Skinny Jean,Levi's,A1F0CF94512F963E5ED4EDD9AF70E2CC,68.0,57.0,59.0,
103,104,24958,8.81,2021-04-09,1,Socks,Thorlo Men's Golf Crew Sock,Thorlo,9C2A685B97EDF0E75FD9DF1C075CD379,14.989999771118164,58.0,69.0,2021-05-09
104,105,24958,8.81,2022-03-05,0,Socks,Thorlo Men's Golf Crew Sock,Thorlo,9C2A685B97EDF0E75FD9DF1C075CD379,14.989999771118164,58.0,11.489999771118164,
105,106,14723,26.2,2020-06-28,1,Maternity,Lilo Maternity Toggle Cardigan Sweater,Lilo Maternity,C80728AA924EF2E490A13188E1178518,62.68999862670898,58.0,19.989999771118164,2020-08-25
106,107,14723,26.2,2021-10-29,0,Maternity,Lilo Maternity Toggle Cardigan Sweater,Lilo Maternity,C80728AA924EF2E490A13188E1178518,62.68999862670898,58.0,30.950000762939453,
107,108,4110,13.8,2020-09-08,1,Jumpsuits & Rompers,Ladies Jumpsuit Dress Brown Shoulderless Smocking Top and Bottom,FineBrandShop,C42F891CEBBC81AA59F8F183243AC2B9,25.5,58.0,48.0,2020-10-16
108,109,4110,13.8,2021-10-11,0,Jumpsuits & Rompers,Ladies Jumpsuit Dress Brown Shoulderless Smocking Top and Bottom,FineBrandShop,C42F891CEBBC81AA59F8F183243AC2B9,25.5,60.0,10.779999732971191,
109,110,4110,13.8,2021-06-07,0,Jumpsuits & Rompers,Ladies Jumpsuit Dress Brown Shoulderless Smocking Top and Bottom,FineBrandShop,C42F891CEBBC81AA59F8F183243AC2B9,25.5,60.0,157.5,
110,111,4110,13.8,2021-07-03,0,Jumpsuits & Rompers,Ladies Jumpsuit Dress Brown Shoulderless Smocking Top and Bottom,FineBrandShop,C42F891CEBBC81AA59F8F183243AC2B9,25.5,61.0,56.0,
111,112,15959,8.55,2021-03-14,1,Plus,MOGA High Quality Change Purse,Marshal,F542F98100AAB2E01BCF4F253F88C107,15.989999771118164,61.0,41.25,2021-04-25
112,113,15959,8.55,2020-08-29,0,Plus,MOGA High Quality Change Purse,Marshal,F542F98100AAB2E01BCF4F253F88C107,15.989999771118164,61.0,24.0,
113,114,15959,8.55,2021-12-16,0,Plus,MOGA High Quality Change Purse,Marshal,F542F98100AAB2E01BCF4F253F88C107,15.989999771118164,61.0,43.9900016784668,
114,115,1287,148.67,2021-04-14,1,Sweaters,Shephe 4 Ply Women's Classic Cashmere Robe with Full Length,Shephe,4079016D940210B4AE9AE7D41C4A2065,349.0,62.0,26.989999771118164,2021-04-25
115,116,1287,148.67,2020-11-12,0,Sweaters,Shephe 4 Ply Women's Classic Cashmere Robe with Full Length,Shephe,4079016D940210B4AE9AE7D41C4A2065,349.0,62.0,101.0,
116,117,13318,15.56,2020-12-05,1,Swim,Oakley Women's Dolly Side Tie Bottom,Oakley,631E08B59D01B18C9D5477A62647E03B,40.0,63.0,78.0,2021-01-04
117,118,13318,15.56,2020-11-11,0,Swim,Oakley Women's Dolly Side Tie Bottom,Oakley,631E08B59D01B18C9D5477A62647E03B,40.0,63.0,70.94999694824219,
118,119,10825,7.07,2020-12-26,1,Intimates,Sexy Ultra Low Rise Y Back G-String-33ys,Body Language Fashions,C0A3EAB00393C89313E8109BB6504A68,12.359999656677246,64.0,29.989999771118164,2021-01-01
119,120,10825,7.07,2020-12-04,0,Intimates,Sexy Ultra Low Rise Y Back G-String-33ys,Body Language Fashions,C0A3EAB00393C89313E8109BB6504A68,12.359999656677246,65.0,89.5,
120,121,10825,7.07,2021-09-16,0,Intimates,Sexy Ultra Low Rise Y Back G-String-33ys,Body Language Fashions,C0A3EAB00393C89313E8109BB6504A68,12.359999656677246,65.0,55.0,
121,122,28145,25.62,2021-02-23,1,Swim,Speedo Men's Linear Motion Square Leg Swimsuit,Speedo,3F5F9A41006ACF1175710899E6EBE758,46.0,65.0,24.0,2021-03-08
122,123,28145,25.62,2020-11-28,0,Swim,Speedo Men's Linear Motion Square Leg Swimsuit,Speedo,3F5F9A41006ACF1175710899E6EBE758,46.0,65.0,25.0,
123,124,28145,25.62,2020-11-09,0,Swim,Speedo Men's Linear Motion Square Leg Swimsuit,Speedo,3F5F9A41006ACF1175710899E6EBE758,46.0,65.0,40.0,
124,125,28145,25.62,2020-08-16,0,Swim,Speedo Men's Linear Motion Square Leg Swimsuit,Speedo,3F5F9A41006ACF1175710899E6EBE758,46.0,65.0,69.98999786376953,
125,126,18713,27.13,2021-01-30,1,Active,prAna Men's Sherpa Crew Tee,prAna,B56ECB91E505CC30FFBA96419AF1CF19,68.0,65.0,248.8500061035156,2021-03-06
126,127,18713,27.13,2022-03-16,0,Active,prAna Men's Sherpa Crew Tee,prAna,B56ECB91E505CC30FFBA96419AF1CF19,68.0,65.0,139.99000549316406,
127,128,18713,27.13,2021-02-06,0,Active,prAna Men's Sherpa Crew Tee,prAna,B56ECB91E505CC30FFBA96419AF1CF19,68.0,66.0,105.0,
128,129,18713,27.13,2020-07-21,0,Active,prAna Men's Sherpa Crew Tee,prAna,B56ECB91E505CC30FFBA96419AF1CF19,68.0,66.0,35.9900016784668,
129,130,24733,5.72,2021-07-20,1,Socks,Noble Mount Mens Premium Wool Thermal Socks - 2 Pairs - Gray/Navy Available,Noble Mount,1ACF95B7E5FF0D9189C38F0C60551D3D,9.989999771118164,66.0,46.0,2021-08-16
130,131,24733,5.72,2021-05-12,0,Socks,Noble Mount Mens Premium Wool Thermal Socks - 2 Pairs - Gray/Navy Available,Noble Mount,1ACF95B7E5FF0D9189C38F0C60551D3D,9.989999771118164,67.0,178.0,
131,132,24733,5.72,2022-02-09,0,Socks,Noble Mount Mens Premium Wool Thermal Socks - 2 Pairs - Gray/Navy Available,Noble Mount,1ACF95B7E5FF0D9189C38F0C60551D3D,9.989999771118164,68.0,190.0,
132,133,20563,25.99,2022-03-31,1,Jeans,Levi's Men's 517 Boot Cut Jean,Levi's,264A8D02FE9429236AD8796DF3F16EC6,44.880001068115234,69.0,24.989999771118164,2022-04-18
133,134,20563,25.99,2020-03-07,0,Jeans,Levi's Men's 517 Boot Cut Jean,Levi's,264A8D02FE9429236AD8796DF3F16EC6,44.880001068115234,69.0,9.039999961853027,
134,135,25417,17.68,2022-04-08,1,Underwear,Tommy Hilfiger Men's 5 Pack Brief,Tommy Hilfiger,2243EE303BF3B1042E3D60895273EEE0,40.0,69.0,79.98999786376953,2022-04-17
135,136,25417,17.68,2020-12-15,0,Underwear,Tommy Hilfiger Men's 5 Pack Brief,Tommy Hilfiger,2243EE303BF3B1042E3D60895273EEE0,40.0,70.0,35.0,
136,137,19723,31.49,2021-10-15,1,Sweaters,Kenneth Cole Men's V-Neck Heathered Stripe Sweater,Kenneth Cole,DACB0AD1B87A47E298CFD44E57BBA042,59.9900016784668,70.0,34.95000076293945,2021-12-13
